Name	LATITUDE_S	LONGITUDE_	Length	AV_RGH_IRI	ALLVEHS_AA	TRUCKS_AAD	Name_2	LATITUDE_S_2	LONGITUDE__2	Length_2	AV_RGH_IRI_2	ALLVEHS_AA_2	TRUCKS_AAD_2	closestWindex	rainfall	Above_30_days	Above_37_5_days	dayspassed	ALLVEHS_AA_avg	TRUCKS_AAD_avg	IRI_increase
2000_F_706_806_19-01-2012_1	-37.841883	145.039713	100	1.3	76000	9700	2000_F_700_800_07-02-2014_1	-37.841867	145.039707	100	1.33	76000	9700	86304	1226.9	75	12	750	76000	9700	0.03
2000_F_35204_35211_19-01-2012_1	-38.030666	145.323507	7	1.385	43000	3800	2000_F_35200_35211_07-02-2014_1	-38.030707	145.323536	11	1.545	43000	3800	86224	1716.2	75	12	750	43000	3800	0.16
2000_F_605_706_19-01-2012_1	-37.840984	145.039625	101	1.305	76000	9700	2000_F_600_700_07-02-2014_1	-37.840971	145.039616	100	1.315	76000	9700	86304	1226.9	75	12	750	76000	9700	0.01
2000_F_302_403_19-01-2012_1	-37.838588	145.038133	101	1.615	69000	8800	2000_F_300_400_07-02-2014_1	-37.838582	145.038123	100	1.62	69000	8800	86304	1226.9	75	12	750	69000	8800	0.00500000000000012
2000_F_28445_28546_19-01-2012_1	-37.99528	145.266025	101	2.075	43000	4200	2000_F_28400_28500_07-02-2014_1	-37.995211	145.265818	100	2.355	43000	4200	86224	1716.2	75	12	750	43000	4200	0.28
2000_F_19871_19972_19-01-2012_1	-37.940699	145.199479	101	1.085	48000	3900	2000_F_19800_19900_07-02-2014_1	-37.940593	145.199344	100	1.285	48000	3900	86111	1517.8	75	12	750	48000	3900	0.2
2000_F_18661_18762_19-01-2012_1	-37.932939	145.189697	101	0.635	85000	8200	2000_F_18600_18700_07-02-2014_1	-37.932933	145.189691	100	0.765	85000	8200	86111	1517.8	75	12	750	85000	8200	0.13
2000_F_26831_26932_19-01-2012_1	-37.987393	145.250919	101	1.32	63000	6100	2000_F_26800_26900_07-02-2014_1	-37.987403	145.250931	100	1.545	63000	6100	86224	1716.2	75	12	750	63000	6100	0.225
2000_F_1109_1210_19-01-2012_1	-37.845453	145.040111	101	1.26	83000	9900	2000_F_1100_1200_07-02-2014_1	-37.84543	145.040043	100	1.295	83000	9900	86304	1226.9	75	12	750	83000	9900	0.0349999999999999
2000_F_19165_19266_19-01-2012_1	-37.936179	145.193761	101	1.02	86000	7000	2000_F_19100_19200_07-02-2014_1	-37.936134	145.193699	100	1.045	85000	8200	86111	1517.8	75	12	750	85500	7600	0.0249999999999999
2000_F_2320_2420_19-01-2012_1	-37.851252	145.051144	100	2.015	82000	7900	2000_F_2300_2400_07-02-2014_1	-37.851197	145.051048	100	2.17	82000	7900	86304	1226.9	75	12	750	82000	7900	0.155
2000_F_19670_19770_19-01-2012_1	-37.939403	145.197852	100	1.245	86000	7000	2000_F_19600_19700_07-02-2014_1	-37.939314	145.197737	100	1.335	86000	7000	86111	1517.8	75	12	750	86000	7000	0.0899999999999999
2000_F_34901_35002_19-01-2012_1	-38.028483	145.321434	101	1.685	43000	3800	2000_F_34900_35000_07-02-2014_1	-38.028548	145.321485	100	1.69	43000	3800	86224	1716.2	75	12	750	43000	3800	0.00499999999999989
2000_F_17551_17652_19-01-2012_1	-37.925805	145.180766	101	0.7	85000	8100	2000_F_17500_17600_07-02-2014_1	-37.925897	145.180877	100	0.845	85000	8100	86111	1517.8	75	12	750	85000	8100	0.145
2000_F_3026_3127_19-01-2012_1	-37.854873	145.057511	101	1.405	86000	9200	2000_F_3000_3100_07-02-2014_1	-37.85475	145.057453	100	2.095	86000	9200	86304	1226.9	75	12	750	86000	9200	0.69
2000_F_25419_25520_19-01-2012_1	-37.977548	145.24062	101	0.67	84000	8100	2000_F_25400_25500_07-02-2014_1	-37.977694	145.240774	100	0.73	84000	8100	86224	1716.2	75	12	750	84000	8100	0.0599999999999999
2000_F_4034_4135_19-01-2012_1	-37.863566	145.060543	101	1.04	80000	8700	2000_F_4000_4100_07-02-2014_1	-37.863396	145.060494	100	1.29	80000	8700	86018	1500.4	75	12	750	80000	8700	0.25
2000_F_1815_1916_19-01-2012_1	-37.848765	145.046421	101	1.97	77000	9200	2000_F_1800_1900_07-02-2014_1	-37.848745	145.046342	100	2.305	77000	9200	86304	1226.9	75	12	750	77000	9200	0.335
